,State,Year,Heart disease,Cancer,Stroke,CLRD,Unintentional injuries,Alzheimer's disease,Diabetes_x,Influenza and pneumonia,Kidney disease,Suicide,Total,Heart disease %,Cancer %,Stroke %,CLRD %,Unintentional injuries %,Alzheimer's disease %,Diabetes %_x,Influenza and pneumonia %,Kidney disease %,Suicide %,Heart disease-AA,Cancer-AA,Stroke-AA,CLRD-AA,Unintentional injuries-AA,Alzheimer's disease-AA,Diabetes_y,Influenza and pneumonia-AA,Kidney disease-AA,Suicide-AA,Total-AA,Heart disease %-AA,Cancer %-AA,Stroke %-AA,CLRD %-AA,Unintentional injuries %-AA,Alzheimer's disease %-AA,Diabetes %_y,Influenza and pneumonia %-AA,Kidney disease %-AA,Suicide %-AA
0,Alabama,1999,13419,9506,3148,2179,2313,772,1341,1228,979,555,35440.0,37.863995485327315,26.822799097065463,8.882618510158014,6.14841986455982,6.526523702031603,2.1783295711060946,3.7838600451467266,3.4650112866817158,2.7624153498871333,1.5660270880361173,303.0,210.9,71.5,48.6,52.2,17.8,30.0,28.2,22.2,12.5,796.9000000000001,38.022336554147316,26.46505207679759,8.972267536704729,6.098632199774124,6.550382733090726,2.2336554147320866,3.764587777638348,3.5387125109800475,2.7857949554523773,1.568578240682645
1,Alabama,2000,13406,9807,3183,2057,2093,895,1321,1138,939,583,35422.0,37.846536051041724,27.6861837276269,8.985940940658347,5.807125515216533,5.908757269493535,2.526678335497713,3.7293207611089154,3.212692676867483,2.6508949240584947,1.6458697984303539,299.5,215.4,71.5,45.5,47.0,20.4,29.3,25.7,21.1,13.1,788.5,37.983512999365885,27.31769181991123,9.067850348763475,5.7704502219403935,5.960684844641725,2.5871908687381104,3.7159162967660113,3.259353202282815,2.675967025998732,1.6613823715916294
2,Alabama,2001,13207,9801,2998,2204,2211,1103,1344,1105,974,512,35459.0,37.24583321582673,27.640373388984464,8.454835161736089,6.215629318367692,6.235370427818044,3.1106348176767535,3.7902930144674127,3.116275134662568,2.746834372091712,1.4439211483685384,292.7,213.0,66.9,48.3,49.5,25.1,29.6,24.9,21.7,11.4,783.1,37.37709104839739,27.199591367641425,8.542970246456392,6.167794662239816,6.321031796705401,3.2052100625718296,3.779849316817776,3.179670540160899,2.7710381815860043,1.455752777423062
3,Alabama,2002,13197,9698,3201,2328,2228,1189,1486,1218,1032,514,36091.0,36.56590285666787,26.87096506054141,8.86924718073758,6.450361585990967,6.173284198276579,3.2944501399240806,4.117369981435815,3.3748025823612533,2.8594386412124906,1.4241777728519576,291.3,208.3,71.2,50.7,49.6,27.0,32.3,27.4,22.8,11.5,792.0999999999999,36.775659638934485,26.29718469890166,8.98876404494382,6.400706981441738,6.261835626814798,3.4086605226612803,4.077767958591087,3.4591591970710773,2.8784244413584146,1.4518368892816567
4,Alabama,2003,13150,9812,3028,2434,2179,1268,1414,1157,1062,521,36025.0,36.50242886884108,27.236641221374047,8.405274115197779,6.7564191533657185,6.048577376821652,3.519777931991672,3.925052047189452,3.2116585704371965,2.9479528105482307,1.4462179042331715,288.5,208.2,67.0,52.4,48.3,28.8,30.4,25.9,23.2,11.4,784.1,36.79377630404285,26.552735620456573,8.544828465756918,6.682821068741232,6.159928580538196,3.6730008927432722,3.8770564978956763,3.30315010840454,2.9588062747098585,1.4538961867108786
5,Alabama,2004,12774,9756,2986,2361,2403,1385,1449,994,1049,541,35698.0,35.78351728388145,27.329262143537452,8.364614264104432,6.613815900050422,6.731469550114852,3.879769174743683,4.059050927222813,2.7844697181914952,2.9385399742282483,1.5154910639251498,278.1,204.5,65.5,50.2,53.0,31.4,30.8,22.1,22.8,11.7,770.1000000000001,36.112193221659524,26.554992858070374,8.5053889105311,6.518633943643682,6.882223087910659,4.077392546422542,3.9994805869367607,2.8697571743929355,2.96065446045968,1.5192832099727305
6,Alabama,2005,12869,9913,2952,2382,2395,1501,1429,1011,1036,535,36023.0,35.72439830108542,27.518529828165338,8.194764456041973,6.612442050911918,6.6485301057657615,4.166782333509147,3.966910029703245,2.806540265941204,2.8759403714293645,1.4851622574466312,274.5,204.4,63.4,50.1,51.9,33.4,29.9,22.0,22.1,11.5,763.1999999999999,35.966981132075475,26.781970649895182,8.30712788259958,6.564465408805033,6.800314465408805,4.376310272536688,3.917714884696017,2.8825995807127884,2.895702306079665,1.5068134171907757
7,Alabama,2006,12583,9899,2740,2309,2506,1497,1453,918,1104,580,35589.0,35.3564303576948,27.814774227991794,7.699008120486667,6.487959762848071,7.0415015875691935,4.206355896484869,4.082722189440558,2.5794487060608615,3.102082104020905,1.6297170474022873,263.0,199.4,57.8,47.6,54.0,32.7,29.8,19.5,23.0,12.4,739.1999999999999,35.579004329004334,26.97510822510823,7.8192640692640705,6.43939393939394,7.305194805194806,4.4237012987013,4.0313852813852815,2.637987012987013,3.1114718614718617,1.6774891774891776
8,Alabama,2007,11926,10025,2747,2530,2542,1517,1313,898,1051,592,35141.0,33.9375658063231,28.527930337782077,7.817079764377792,7.199567456816823,7.233715602857062,4.316894795253408,3.7363763125693636,2.5554195953444694,2.9908084573575024,1.684641871318403,245.0,198.7,56.9,51.3,53.8,32.6,26.4,18.8,21.3,12.4,717.1999999999999,34.1606246514222,27.704963747908533,7.9336307863915225,7.1528165086447295,7.5013943112102615,4.545454545454546,3.6809815950920246,2.6213050752928058,2.9698828778583386,1.7289459007250418
9,Alabama,2008,12074,10182,2863,2733,2509,1518,1386,912,1107,604,35888.0,33.6435577351761,28.37160053499777,7.977596968345965,7.615358894337939,6.991194828354883,4.229826125724476,3.862015158270174,2.5412394115024517,3.0845965225144893,1.6830138207757468,243.3,197.5,58.2,54.2,52.5,32.1,27.2,18.7,22.3,12.6,718.6,33.857500695797384,27.483996660172554,8.099081547453382,7.542443640411912,7.305872529919287,4.467019204007793,3.7851377678819924,2.6022822154188696,3.1032563317561928,1.753409407180629
